"game_date","matchup","player_id","player_name","prop_type","player_prop","dk_decimal_odds","implied_probability"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 8+","1.04","0.961538"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 10+","1.11","0.900901"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 12+","1.21","0.826446"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 15+","1.48","0.675676"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 18+","1.94","0.515464"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 20+","2.45","0.408163"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 25+","4.83","0.207039"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 30+","10.8","0.092593"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32876","Jayson Tatum","Points","Points 35+","22","0.045455"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32992","Dean Wade","Points","Points 6+","1.99","0.502513"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32992","Dean Wade","Points","Points 8+","2.97","0.336700"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32992","Dean Wade","Points","Points 10+","5.29","0.189036"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32992","Dean Wade","Points","Points 12+","8.5","0.117647"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32992","Dean Wade","Points","Points 15+","18.8","0.053191"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 6+","1.3","0.769231"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 8+","1.68","0.595238"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 9+","1.95","0.512821"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 10+","2.32","0.431034"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 12+","3.43","0.291545"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 15+","6.88","0.145349"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 18+","13.6","0.073529"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 20+","21","0.047619"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 15+","1.05","0.952381"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 18+","1.14","0.877193"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 20+","1.25","0.800000"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 25+","1.8","0.555556"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 30+","3.17","0.315457"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 35+","6.75","0.148148"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 40+","15.4","0.064935"
"2026-03-08","BOS Celtics @ CLE Cavaliers","32872","Jaylen Brown","Points","Points 45+","30","0.033333"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 6+","1.1","0.909091"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 8+","1.24","0.806452"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 10+","1.49","0.671141"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 12+","1.87","0.534759"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 15+","2.87","0.348432"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 18+","4.98","0.200803"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 20+","7.3","0.136986"
"2026-03-08","BOS Celtics @ CLE Cavaliers","800376","Jaylon Tyson","Points","Points 25+","18.6","0.053763"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 10+","1.04","0.961538"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 12+","1.11","0.900901"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 15+","1.27","0.787402"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 18+","1.58","0.632911"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 20+","1.9","0.526316"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 25+","3.49","0.286533"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 30+","7.2","0.138889"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 35+","16","0.062500"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33070","James Harden","Points","Points 40+","30","0.033333"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 6+","1.25","0.800000"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 8+","1.56","0.641026"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 9+","1.76","0.568182"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 10+","2.28","0.438596"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 12+","2.86","0.349650"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 15+","5.11","0.195695"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 18+","9.7","0.103093"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591150","Sam Hauser","Points","Points 20+","14.8","0.067568"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 6+","1.14","0.877193"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 8+","1.37","0.729927"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 10+","1.77","0.564972"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 12+","2.48","0.403226"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 15+","4.74","0.210970"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 18+","9.2","0.108696"
"2026-03-08","BOS Celtics @ CLE Cavaliers","591044","Neemias Queta","Points","Points 20+","14.8","0.067568"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 8+","1.04","0.961538"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 10+","1.11","0.900901"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 12+","1.23","0.813008"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 15+","1.58","0.632911"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 17+","1.97","0.507614"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 18+","2.24","0.446429"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 20+","3.03","0.330033"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 25+","7.2","0.138889"
"2026-03-08","BOS Celtics @ CLE Cavaliers","590986","Evan Mobley","Points","Points 30+","18.8","0.053191"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 15+","1.04","0.961538"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 18+","1.12","0.892857"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 20+","1.21","0.826446"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 25+","1.66","0.602410"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 26+","1.8","0.555556"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 30+","2.72","0.367647"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 35+","5.32","0.187970"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 40+","11.8","0.084746"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 45+","25","0.040000"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 8+","1.07","0.934579"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 10+","1.16","0.862069"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 12+","1.32","0.757576"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 15+","1.74","0.574713"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 16+","1.95","0.512821"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 18+","2.53","0.395257"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 20+","3.4","0.294118"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 25+","8.3","0.120482"
"2026-03-08","BOS Celtics @ CLE Cavaliers","527233","Payton Pritchard","Points","Points 30+","20.4","0.049020"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 8+","1.05","0.952381"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 10+","1.13","0.884956"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 12+","1.26","0.793651"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 15+","1.6","0.625000"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 17+","1.99","0.502513"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 18+","2.24","0.446429"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 20+","2.93","0.341297"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 25+","6.68","0.149701"
"2026-03-08","BOS Celtics @ CLE Cavaliers","33364","Derrick White","Points","Points 30+","16.4","0.060976"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 8+","1.05","0.952381"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 10+","1.12","0.892857"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 12+","1.25","0.800000"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 15+","1.58","0.632911"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 17+","1.94","0.515464"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 18+","2.2","0.454545"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 20+","2.87","0.348432"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 25+","6.71","0.149031"
"2026-03-08","NY Knicks @ LA Lakers","33382","OG Anunoby","Points","Points 30+","16.8","0.059524"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 6+","1.26","0.793651"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 8+","1.62","0.617284"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 9+","2.02","0.495050"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 10+","2.28","0.438596"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 12+","3.39","0.294985"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 15+","7","0.142857"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 18+","13.8","0.072464"
"2026-03-08","NY Knicks @ LA Lakers","33312","Deandre Ayton","Points","Points 20+","21","0.047619"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 6+","1.28","0.781250"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 8+","1.56","0.641026"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 9+","1.79","0.558659"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 10+","2.06","0.485437"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 12+","2.89","0.346021"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 15+","5.15","0.194175"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 18+","10","0.100000"
"2026-03-08","NY Knicks @ LA Lakers","33111","Landry Shamet","Points","Points 20+","15","0.066667"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 10+","1.06","0.943396"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 12+","1.14","0.877193"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 15+","1.37","0.729927"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 18+","1.81","0.552486"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 20+","2.31","0.432900"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 25+","4.98","0.200803"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 30+","12.8","0.078125"
"2026-03-08","NY Knicks @ LA Lakers","33194","Karl-Anthony Towns","Points","Points 35+","29","0.034483"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 10+","1.04","0.961538"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 12+","1.1","0.909091"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 15+","1.27","0.787402"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 18+","1.59","0.628931"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 20+","1.94","0.515464"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 25+","3.76","0.265957"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 30+","8.7","0.114943"
"2026-03-08","NY Knicks @ LA Lakers","33114","LeBron James","Points","Points 35+","19.8","0.050505"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 6+","1.42","0.704225"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 8+","1.84","0.543478"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 10+","2.66","0.375940"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 12+","3.95","0.253165"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 15+","7.8","0.128205"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 18+","15.6","0.064103"
"2026-03-08","NY Knicks @ LA Lakers","32870","Marcus Smart","Points","Points 20+","23","0.043478"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 18+","1.06","0.943396"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 20+","1.11","0.900901"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 25+","1.34","0.746269"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 30+","1.82","0.549451"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 35+","2.85","0.350877"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 40+","4.99","0.200401"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 45+","9.7","0.103093"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 50+","18.8","0.053191"
"2026-03-08","NY Knicks @ LA Lakers","33005","Luka Doncic","Points","Points 55+","30","0.033333"
"2026-03-08","NY Knicks @ LA Lakers","33242","Mitchell Robinson","Points","Points 6+","1.89","0.529101"
